Marzen;Oktoberfest;Märzen;Oktoberfest/Marzen;Oktoberfest/Märzen;Oktoberfest/M채rzen
Extra Special/Strong Bitter (ESB);Extra Special/Strong Bitter (English Pale Ale);English Pale Ale/Strong Bitter;English Pale Ale;Strong Bitter
Kolsch;Kölsch;Kรถlsch;koelsch
Blond Ale;Blonde Ale;Blond;Blonde
North German Altbier;Northern German Altbier
Dusseldorf Altbier;Düsseldorf Altbier;D端sseldorf Altbier
Schwarzbier;Schwarzbier (Black Beer)
Winter Seasonal Beer;Christmas/Winter Specialty Spiced Beer
Biere de Garde;Bière de Garde
Northern English Brown;Northern English Brown Ale
American Light Lager;Lite American Lager;American Lite Lager
Irish Stout;Dry Stout (Irish);Stout,Irish
English IPA;India Pale Ale
American Pale Ale;Pale Ale (American)
Other Smoked Beer;Smoked Beer, Other
Dortmunder Export;Dortmunder Export Lager
American IPA;New England IPA
Kellerbier: Amber Kellerbier;Amber Kellerbier
Kellerbier: Pale Kellerbier;Pale Kellerbier