name;use;origin;substitutes;aromas;alt_names;alt_names_extra
ADHA 484;;USA;;;;Experimental 484,ADHA-484
Admiral;bittering;GBR;Challenger,Northdown,Target;Citrus,Herbal,Orange,Resin,Tea;;admiral (uk)
African Queen;dual-purpose;ZAF;Amarillo,Cascade,Citra,Mosaic,Simcoe;Blueberry,Bubblegum,Cassis,Chilies,Citrus,Currant,Gazpacho,Gooseberry,Lemongrass,Stonefruit;South African Queen;Africa Queen,SA Queen,S.A. Queen,South Africa Queen,j17,j-17
Aged Hops;;;;;;aged / debittered hops,old hops,Lambic Hops
Agnus;bittering;CZH;Columbus,Magnum,Nugget,Target;Citrus,Lavender,Leather,Spicy,Tobacco;;
Ahil;aroma;SLO;;;;
Ahtanum;aroma;USA;Amarillo,Cascade,Centennial,Willamette;Cedar,Citrus,Earthy,Floral,Geranium,Grapefruit,Lemon,Pine;;Ahtanium,Athanum,Athnanum,Ahtanum (us)
Akoya;aroma;GER;Aurora,Hallertauer Tradition,Northern Brewer,Perle;Fruity,Pepper,Spicy,Tea;;
Alliance;dual-purpose;GBR;;;;
Aloha;dual-purpose;GER;;Berry,Citrus,Floral,Fruity,Sweet;;
Alta;dual-purpose;UA;Magnum;spicy,fruit,currant;;alta (ua)
Amallia;dual-purpose;USA;;Earthy;;
Amarillo;aroma;USA;Cascade,Centennial,Chinook,Simcoe,Summer,Yellow Sub;Apricot,Citrus,Floral,Grapefruit,Lemon,Melon,Orange,Peach,Spicy,Tropical Fruits;;Amarillo,Armarillo,Amar,Amaerillo,amarillo (us),amarillo gold,armadillo
Amethyst;aroma;CZH;;Citrus,Earthy,Spicy;;
Apollo;bittering;USA;Bravo,Columbus,Magnum,Nugget;Cannabis,Citrus,Grapefruit,Lemon,Lime,Orange,Pine,Resin;;apollo (us)
Apolon;dual-purpose;SLO;;;;
Aquila;aroma;USA;Cluster,Galena;;;
Aramis;aroma;FRA;Ahtanum,Centennial,Challenger,Strisselspalt,Willamette;Citrus,Floral,Grassy,Herbal,Pepper,Spicy;;Armis,aramis (fr)
Archer;aroma;GBR;;Apricot,Citrus,Floral,Lime,Peach;;
Ariana;dual-purpose;GER;Hallertauer Blanc,Hüll Melon,Mandarina Bavaria;Citrus,Fruity,Gooseberry,Herbal,Jasmine,Passionfruit,Pineapple,Tangerine;;Arriana
Astra;dual-purpose;;;Grapefruit,Grassy,Honey,Melon,Peach,Sweet,Tropical Fruits,Whitewine;;
Atlas;aroma;SLO;;Floral,Lime,Pine;;
Aurora;dual-purpose;SLO;Northern Brewer,Perle,Styrian Golding;Floral,Lemongrass,Noble,Spicy;Super Styrians;Super Styrian,styrian goldings (sl),styrian golding (sl),styrian arora (si),styrian aurora (si),auarora
Azacca;dual-purpose;USA;Amarillo,Citra,Delta,Pekko;Citrus,Grapefruit,Grassy,Lemon,Mango,Orange,Papaya,Pineapple,Spicy,Tropical Fruits;;Aza,Azzaca
Backa;aroma;SER;;;;
Banner;bittering;USA;Aquila,Cluster,Galena;;;
Barbe Rouge;aroma;FRA;;Berry,Citrus,Currant,Floral,Kumquat,Lime,Orange,Raspberry,Strawberry;;Barbe Rogue
Bate's Brewer;dual-purpose;GBR;;;;
Beata;bittering;;;Almond,Apricot,Honey;;
Belma;dual-purpose;USA;Hüll Melon,Pacific Gem;Berry,Citrus,Grapefruit,Melon,Orange,Pineapple,Strawberry,Tropical Fruits;;
Bergamot;aroma;USA;;Cherry,Citrus,Juniper,Lemongrass,Lime,Mango,Orange;;
Bianca;aroma;USA;;;Bianco,Bianca Gold ;
Bitter Gold;bittering;USA;Galena,Nugget;Floral,Grapefruit,Grassy,Pear,Stonefruit,Tropical Fruits,Watermelon;;
Blato;aroma;CZH;Saaz;Earthy,Floral,Herbal,Mild,Noble;;saaz (cz)
Blisk;aroma;SLO;;;;
Blue Northern Brewer;dual-purpose;BEL;Chinook;;;
Boadicea;aroma;GBR;Cascade,Chinook,Green Bullet;Floral,Fruity;;boudica
Bobek;dual-purpose;SLO;Fuggle,Northern Brewer,Styrian Golding,Willamette;Floral,Pine;;
BOR;aroma;CZH;;Pine,Spicy;;
Bouclier;dual-purpose;FRA;;Grassy,Herbal,Spicy;;
Bramling;aroma;GBR;East Kent Golding,Progress,Whitbread Golding;;;
Bramling Cross;dual-purpose;GBR;Bullion,East Kent Golding,Galena,Northern Brewer,Progress,Whitbread Golding;Currant,Lemon,Loganberry,Spicy,Vanilla;;Bambling Cross,bramling cross (uk),brambling cross
Bravo;bittering;USA;Centennial,Chinook,Columbus,Nugget;Candy,Floral,Fruity,Lime,Orange,Vanilla;;bravo (us)
Brewer's Gold;bittering;GER,USA;Brewer's Gold,Bullion,Chinook,Eroica,Galena,Northdown,Northern Brewer,Nugget;Currant,Spicy;;brewer's gold (us),brewers gold (us),brewer's gold (de),brewers gold (de),us brewer gold,brewers gold,gold
BRU-1;bittering;USA;;Fruity,Pineapple;;
Buket;dual-purpose;;;;;
Bullion;bittering;USA;Bramling Cross,Brewer's Gold,Galena,Mount Rainier;Currant,Spicy;;Bullion (us)
Bullion 10A;bittering;;;;;
Buzz Bullets;dual-purpose;USA;;Citrus,Floral;;
Calicross;dual-purpose;;;;;
Caliente;dual-purpose;USA;;Citrus,Lemon,Mandarin,Peach,Pine,Stonefruit;;Caliente (us)
California Cluster;bittering;;;;;
Callista;aroma;GER;Hallertauer Tradition;Apricot,Blackberry,Caramel,Orange,Passionfruit,Peach,Pear,Pine,Strawberry;;Calista,callista (de)
Calypso;dual-purpose;USA;Belma,Cascade,Galena,Hüll Melon;Apple,Citrus,Fruity,Lime,Peach,Pear,Stonefruit;;calypso (us)
Canadian Redvine;aroma;;;;;
Canterbury Whitebine;aroma;;;;;
Cascade;aroma;USA,NZL;Ahtanum,Amarillo,Centennial,Summit;Citrus,Floral,Grapefruit,Pine,Spicy;;Casade,Cascada,Casacade,Cacade,cascade (us),cascade (nz),new zealand cascade,heirloom/homegrown,hopshot,hop shot
Cashmere;dual-purpose;USA;Cascade;Candy,Coconut,Fruity,Herbal,Lemon,Lemongrass,Lime,Melon,Peach;;Cashmire,Casshmere,Cashmerre,Cashemere,cashmere (us)
Cekin;aroma;;;;;
Centennial;dual-purpose;USA;Amarillo,Bullion,Cascade,Chinook,Columbus,Eroica,Galena,Nugget;Citrus,Floral,Grapefruit,Pine,Tangerine;;Centenial,Centennials,Centenniel,centennial (us)
Cerera;dual-purpose;;;;;
Challenger;dual-purpose;GBR;Northdown,Northern Brewer,Perle,Target;Cedar,Fruity,Green Tea;;Wye Challenger,challenger (uk)
Chelan;bittering;USA;Galena,Nugget;Citrus,Floral,Fruity,Mild;;
Chinook;dual-purpose;USA;Columbus,Eroica,Galena,Northern Brewer,Nugget;Grapefruit,Pine,Resin,Spicy;;Kanook,chinook (us),Chinnok
Cicero;dual-purpose;;;;;
Citra;dual-purpose;USA;Cascade,Centennial,Mosaic,Simcoe;Citrus,Floral,Gooseberry,Grapefruit,Lime,Lychee,Melon,Passionfruit,Peach;HBC 394;citra (us)
Cleopatra;dual-purpose;USA;;;;
Cluster;dual-purpose;USA;Chinook,Eroica,Galena,Nugget;Earthy,Floral,Fruity,Sweet;;cluster (us)
Cluster Fugget;aroma;USA;;Floral,Pepper,Spicy,Woody;;Fugget
Cobb;aroma;;;;;
Coigneau;dual-purpose;;;;;
Columbia;aroma;USA;Centennial,Chinook;Citrus,Lemon,Noble,Pineapple;;
Columbus;dual-purpose;USA;Centennial,Chinook,Columbus,Galena,Millennium,Northern Brewer,Nugget,Target;Citrus,Curry,Earthy,Floral,Licorice,Pepper,Spicy;Tomahawk,Zeus,CTZ;Colombus,columbus (us),super alpha,zeus (us),columbus (tomahawk),tomahawk (us),worrior
Comet;bittering;USA;Galena;Grapefruit,Grassy;;
Crystal;aroma;USA;Hallertauer Mittelfrüh,Hersbrucker,Liberty,Mount Hood,Strisselspalt,Ultra;Cinnamon,Floral,Fruity,Nutmeg,Pepper,Spicy,Woody;;Crysta,crystal (us)
Dana;aroma;SLO;;;;Styrian Dana,Ekstra Styrian Dana,Extra Styrian Dana
Defender;aroma;;;;;
Delta;dual-purpose;USA;;;;
Density;aroma;;;;;
Dr. Rudi;dual-purpose;NZL;Green Bullet;Lemongrass,Pine,Resin;;dr rudy,dr rudi
Dunav;aroma;;;;;
Early Bird;aroma;;;;;
Early Green;aroma;;;;;
Early Prolific;aroma;;;;;
Early Promise;aroma;;;;;
East Kent Golding;aroma;GBR;Fuggle,Golding,Progress,Target,Whitbread Golding,Willamette;Floral,Grapefruit,Honey,Lavender,Lemon,Orange,Thyme;;Goldings East Kent,Golding East Kent,East Ken Golding,East Kent Godings,East Kent Golding,Est Kent Goldings, Kent East Golding,Kent East Goldings,Kent Golding,Kent Goldings,East Kent,kent golding (uk),ekg (uk),east kent golding (uk),golding (uk),east kent goldings,ekg
Eastern Gold;bittering;;;;;
Eastern Green;aroma;;;;;
Eastwell Golding;aroma;;;;;
Ekuanot;dual-purpose;USA;Chinook,Cluster,Galena,Summit;Apple,Berry,Citrus,Eucalyptus,Guava,Herbal,Lemon,Lime,Melon,Orange,Papaya,Pepper,Sage,Tropical Fruits;Equinox,HBC 366;Ekvanot,Equanot,Eukanot,Ekua,Experimental 366,Equinot
El Dorado;aroma;USA;Citra,Nelson Sauvin,Rakau;Candy,Fruity,Pear,Stonefruit,Tropical Fruits,Watermelon;;Eldorado
Elixir;aroma;FRA;;Citrus,Cognac,Floral,Leather,Orange,Tangerine,Tobacco,Tropical Fruits,Woody;;Elexir
Ella;aroma;AUS;Galaxy,Palisade,Perle;Anise,Floral,Grapefruit,Noble,Spicy,Tropical Fruits;Stella;ella (stella) (au),ella (au),stella (au)
Elsaesser;aroma;;;;;
Empire;dual-purose;;;;;
Endeavor;dual-purpose;GBR;;Citrus,Currant,Spicy;;Endeavour,Endevour,Endeavor (uk)
Enigma;bittering;AUS;Hallertauer Blanc,Nelson Sauvin;Berry,Currant,Raspberry,Stonefruit,Tropical Fruits,Whitewine;;
Epic;aroma;;;Berry,Fruity,Herbal;;
Eroica;bittering;USA;Brewer's Gold,Chinook,Cluster,Galena,Nugget;;;eroica (us)
Eureka;dual-purpose;USA;Apollo,Columbus,Merkur,Simcoe,Summit;Citrus,Currant,Herbal,Mandarin,Mint,Peach,Pine,Stonefruit;;
Experimental 06300;dual-purpose;USA;;Cocoa,tropical,stone fruit, passionfruit,caramel,anise,Jolly Rancher;;exp 6300 (us)
Experimental 7270;;;;;;7270,Experimental #7270,EXPERIMENTAL 07270
Falconer's Flight 7 C's;dual-purpose;USA;Cascade,Centennial,Chinook,Citra,Cluster,Columbus,Crystal;Citrus,Earthy,Fruity,Spicy;;Seven C's,7 C's,7C's,falconer's seven seas
Falconer's Flight;dual-purpose;USA;;;;falconers flight,Falconer Flight,Falcon Flight,Falcones Flight,falconer's flight (us),falconers flight (us),Falconner's Flight
Fantasia;dual-purpose;GER;;Caramel,Cream,Fruity,Noble;;
Feux-Coeur;bittering;;;;;
First Choice;aroma;;;;;1st Choice
First Gold;dual-purpose;GBR;Crystal,East Kent Golding,Golding;Apricot,Berry,Herbal,Magnolia,Orange,Tangerine;;1st Gold,first gold (uk)
Flyer;dual-purpose;GBR;;Citrus,Licorice,Resin,Spicy;;flyer (uk)
Fortnight;dual-purpose;USA;;;;
Fuggle;aroma;GBR,GER,USA;East Kent Golding,Styrian Golding,Tettnanger,Willamette;Grassy,Mild,Mint,Woody;;Fuggles,Fuggels,Fugle,fuggle (uk),fuggle (de),fruggle,fuggle (us)
Fuggle Tetraploid;dual-purpose;;;;;
Furano Ace;aroma;;;;;
Fusion;aroma;GBR;;Spicy,Tropical Fruits;;Fuison
Galaxy;dual-purpose;AUS;Amarillo,Citra,Simcoe;Citrus,Passionfruit,Peach,Pineapple,Tropical Fruits;;galaxy (au),australian galaxy
Galena;bittering;USA;Brewer's Gold,Chinook,Cluster,Columbus,Eroica,Northern Brewer,Nugget;Currant,Fruity,Gooseberry,Grapefruit,Lime,Pear,Pineapple,Spicy,Woody;;galena (us)
Gargoyle;aroma;;;;;
Glacier;dual-purpose;USA;Fuggle,Styrian Golding,Willamette;Blackberry,Cedar,Plum,Woody;;Galcier,glacier (us)
Godiva;aroma;GBR;Hallertauer Blanc,Wai-iti;Gooseberry,Spicy,Tangerine,Whitegrape;;
Golden Star;aroma;;;;;
Golding;aroma;USA;East Kent Golding,Fuggle,Styrian Golding,Willamette;;;Goldings,Golding,Goldins,golding (us)
GP75;;GBR;;;;
Green Bullet;dual-purpose;NZL;Crystal,Hallertauer Mittelfrüh,Liberty,Mount Hood,Styrian Golding,Ultra;Floral,Fruity,Pepper,Pine,Plum,Resin;;green bullet (nz)
Greensburg;dual-purpose;;;;;
Groene Bel;aroma;;;;;
Grüngeist;aroma;GER;Armarillo,Aramis,Azacca;Tropical, Passion Fruit, Peach, Lemon Zest;;Grungeist
Hallertauer;dual-purpose;NZL;;;;new zealand hallertau,hallertauer aroma,hallertauer aroma (nz)
Hallertauer Bitter;bittering;GER;Merkur;Spicy,Sweet;;Hallertau Bitter,H Bitter
Hallertauer Blanc;aroma;GER;Enigma,Nelson Sauvin;Clean,Gooseberry,Grape,Lemongrass,Passionfruit,Pineapple,Whitewine;;Hallertau Blanc,H Blanc,halletau blanc
Hallertauer Diamant;dual-purpose;;;;;Hallertau Diamant,H Diamant
Hallertauer Gold;aroma;USA,GER;;;;Hallertau Gold,H Gold,hallertau (us),hallertau gold (de)
Hallertauer Mittelfrüh;aroma;GER;Crystal,Hallertauer Mittelfrüh,Hallertauer Tradition,Hersbrucker,Liberty,Ultra,Vanguard;Citrus,Floral,Grassy,Spicy,Tea;;Hallertau Mittelfrüh,Hallertau Mittlefrüh,Mittelfrüh,Mittelfrüher,H Mittelfrüh,Hallertauer MF,German Hallertau,Domestic Hallertau,Hallertauer Hallertauer,Hallertau Hallertauer,Mttelfrueh,Mittlefrüh,hallertauer mittlefrüh (de),hallertauer mittelfrüh (de),hallertau
Hallertauer Rotrebiger;aroma;;;;;Hallertau Rotrebiger,H Rotrebiger
Hallertauer Taurus;dual-purpose;GER;;Banana,Chocolate,Curry,Pepper,Spicy;;Hallertau Taurus,H Taurus,Taurus,Taurus (de)
Hallertauer Tradition;aroma;GER;Crystal,East Kent Golding,Hallertauer Mittelfrüh,Mount Hood,Tettnanger;Earthy,Fruity,Grassy,Nectar,Noble;;Hallertau Tradition,H Tradition,Tratition,Tradi,Tradion,Tradition,Traditional,Tradtional,hallertau (de),hallertauer tradition (de),tradition (de),hallertauer traditional,german tradition,hallotau,hellertauer,traddition
Harlequin;;GBR;;;;
Harmonie;aroma;;;Apricot,Banana,Caramel,Green Tea;;
Hartwick;aroma;;;;;Harwick
HBC 342;bittering;USA;;Citrus,Mild,Tropical Fruits;;hbc342,hbc-342
HBC 431;bittering;;;;;hbc431,hbc-431,Experimental 431
HBC 438;dual-purpose;USA;;Tropical,stone fruit,grapefruit,mango,pineapple,coconut,lime,cedar;;hbc438,Experimental 438,HBC-438,
HBC 472;dual-purpose;USA;;Citrus,Coconut,Earthy,Floral,Fruity,Grapefruit,Whisky,Woody;;hbc472,hbc-472,Experimental 472
HBC 586;bittering;USA;;Citrus,Fruity,Guava,Herbal,Lychee,Mango,Sulfur,Tropical Fruits;;hbc586,hbc-586,Experimental 586
Helga;aroma;AUS;Hallertauer Mittelfrüh;Noble;;helga (au),haga
Herald;dual-purpose;GBR;;;;
Herkules;dual-purpose;GER;Hallertauer Taurus,Warrior;Citrus,Melon;;Hercules,Herkels,Herkules (de)
Hersbrucker;aroma;GER;Hallertauer Mittelfrüh,Liberty,Mount Hood,Spalter,Strisselspalt;Hay,Noble,Orange,Tobacco;Hallertauer Hersbrucker;hallertau hersbrucker,hersbrucker (de),german hersbrucker
Hersbrucker E;aroma;;;;;
Hersbrucker Pure;aroma;GER;Hallertauer Mittelfrüh,Hersbrucker;Noble;;
Hersbrucker Red-Stem;aroma;;;;;
Hersbrucker Spät;aroma;GER;Hallertauer Mittelfrüh,Strisselspalt;Noble,Vanilla;;
Hokitika;aroma;;;;;
Hop Hash;bittering;;;;;hash
Hop Extract;bittering;;;;;extract
Horizon;dual-purpose;USA;Magnum,Nugget;Citrus,Floral,Spicy;;horizon (us)
Hort 4337;dual-purpose;NZL;;Citrus,Grapefruit,Passionfruit,Peach,Pineapple,Tropical Fruits;;
HORT9909;dual-purpose;;;Citrus,Crisp,Hay,Lemon,Lime,Noble,Spicy,Sweet;;Trial Hop 9909
HPA-016;aroma;;;Citrus,Fruity,Mandarin,Pine;;HPA016
Hüll Melon;aroma;GER;;;;Hüll Mellon,Melon Hüll,Hüllmelon,melon
Hüller Bitter;dual-purpose;GER;;Fruity,Mild,Resin,Spicy;;Hüll Bitter,Hüller Bitterer
Hybrid-2;aroma;;;;;
Idaho 7;dual-purpose;USA;Amarillo,Azacca,Cashmere,Chinook,Citra,Columbus,El Dorado,Idaho Gem;Apricot,Black Tea,Citrus,Currant,Earthy,Floral,Grapefruit,Orange,Papaya,Pine,Resin,Tropical Fruits;;Idaho hop 7,007
Idaho Gem;aroma;USA;;;;Idaho Gme
Independence;aroma;USA;;Citrus,Earthy,Floral,Herbal,Pine,Stonefruit,Tobacco;;independece
Iunga;dual-purpose;POL;Galena,Nugget,Target;Currant,Earthy,Fruity,Peach,Pineapple,Grapefruit,Spicy;;Junga
Ivanhoe;aroma;;;;;
Janus;aroma;;;;;
Jarrylo;dual-purpose;USA;;;;Jarryllo,jaryllo,jarylo
Jester;aroma;GBR;;Banana,Pear,Spice;;
Julius;aroma;USA;;Orange,Peach,Sweet;Mighty Axe Julius;Julious,Mighty Axe Julious
Junga;dual-purpose;PL;;;;junga (pl)
Kazbek;aroma;CZH;;;;
Keyworth's Early;aroma;;;;;
Keyworth's Midseason;aroma;;;;;
