name;alt_names;alt_names_extra;lab;alt_lab;brand;alt_brand;product_id;alt_product_id;type;form;tolerance;tolerance_percent;flocculation;attenuation;min_temperature;max_temperature
Melbourne Ale Yeast;Melbourne Ale,Melbourne;;White Labs;White Lab;;;WLP059;WLP 059,WLP-059;ale;liquid;high;;medium;76;20;23
California Ale V;;;White Labs;White Lab;;;WLP051;WLP 051,WLP-051;ale;liquid;medium;;medium-high;72.5;19;21
California Ale;Cal Ale,Cali;;White Labs;White Lab;;;WLP001;WLP 001,WLP-001;ale;liquid;high;;medium;76.5;20;23
Champagne;;;White Labs;White Lab;;;WLP715;WLP 715,WLP-715;wine-cider;liquid;;17;low;90;21;24
Coastal Haze Ale Blend;Coastal Haze;;White Labs;White Lab;;;WLP067;WLP 067;ale;liquid;high;;medium;78;18;26
Copenhagen Lager;;;White Labs;White Lab;;;WLP850;WLP 850;lager;liquid;medium;;medium;75;10;14
Cream Ale Blend;Cream Ale Yeast,Cream Ale Yeast Blend;;White Labs;White Lab;;;WLP080;WLP 080;ale;liquid;medium;;medium;77.5;18;21
Cry Havoc;;;White Labs;White Lab;;;WLP862;WLP 862;ale;liquid;medium;;medium-low;68;20;23
Czech Budejovice Lager;;;White Labs;White Lab;;;WLP802;WLP 802;lager;liquid;medium;;medium;77.5;10;13
Dry English Ale;;;White Labs;White Lab;;;WLP007;WLP 007,WLP-007;ale;liquid;medium;;medium-high;75;18;21
Dusseldorf Alt;;;White Labs;White Lab;;;WLP036;WLP 036,WLP-036;ale;liquid;medium;;medium;68.5;18;22
East Coast Ale;;;White Labs;White Lab;;;WLP008;WLP 008,WLP-008;ale;liquid;medium;;medium-low;72.5;20;23
Nottingham Ale Yeast;East Midlands Ale;;White Labs;White Lab;;;WLP039;WLP 039,WLP-039;ale;liquid;medium;;medium-high;77.5;19;21
Edinburgh Scottish Ale;Edinburgh Ale;;White Labs;White Lab;;;WLP028;WLP0028,WLP 028,WLP-028;ale;liquid;medium;;medium;72.5;18;21
English Ale Blend;;;White Labs;White Lab;;;WLP085;;ale;liquid;medium;;medium-high;72.5;20;22
English Ale;;;White Labs;White Lab;;;WLP002;WLP 002,WLP-002;ale;liquid;medium;;very-high;66.5;18;20
English Cider;;;White Labs;White Lab;;;WLP775;WLP 775,WLP-775;wine-cider;liquid;medium;;medium;90;20;24
Essex Ale;;;White Labs;White Lab;;;WLP022;WLP 022,WLP-022;ale;liquid;medium;;medium-high;73.5;19;21
European Ale;;;White Labs;White Lab;;;WLP011;WLP 011,WLP-011;ale;liquid;medium;;medium;67.5;18;21
Flemish Ale Blend;;;White Labs;White Lab;;;WLP665;WLP 665,WLP-665;ale;liquid;medium;;low;83;20;27
French Ale;;;White Labs;White Lab;;;WLP072;WLP 072,WLP-072;ale;liquid;medium;;medium-high;71.5;17;19
French Saison Ale;;;White Labs;White Lab;;;WLP590;WLP 590,WLP-590;ale;liquid;medium;;medium;81;21;24
German Ale II;;;White Labs;White Lab;;;WLP003;WLP 003,WLP-003;ale;liquid;medium;;medium;76.5;18;21
German Ale/ Kölsch;German Ale/Kolsch;;White Labs;White Lab;;;WLP029;WLP 029,WLP-029;ale;liquid;medium;;medium;75;18;21
German Bock Lager;;;White Labs;White Lab;;;WLP833;WLP 833,WLP-833,WLP0833;lager;liquid;medium;;medium;73;9;13
German Lager X;;;White Labs;White Lab;;;WLP835;WLP 835,WLP-835;lager;liquid;medium;;medium;73;10;12
German Lager;;;White Labs;White Lab;;;WLP830;WLP 830,WLP-830;lager;liquid;medium;;medium;76.5;10;13
Hansen Ale Blend;;;White Labs;White Lab;;;WLP075;WLP 075,WLP-075;ale;liquid;high;;medium;77;19;21
Hefeweizen Ale;;;White Labs;White Lab;;;WLP300;WLP 300,WLP-300;wheat;liquid;medium;;low;74;20;22
Hefeweizen IV Ale;;;White Labs;White Lab;;;WLP380;WLP 380,WLP-380;wheat;liquid;medium;;low;76.5;19;21
HP Lager;;;White Labs;White Lab;;;WLP925;WLP 925,WLP-925;lager;liquid;medium;;medium;77.5;17;20
Irish Ale;;;White Labs;White Lab;;;WLP004;WLP 004,WLP-004;ale;liquid;medium;;medium-high;71.5;18;20
Klassic Ale;;;White Labs;White Lab;;;WLP033;WLP 033,WLP-033;ale;liquid;medium;;medium;70;19;21
Lactobacillus Brevis;Lacto B.,Lacto B,Lactobacillus B,Lactobacillus B.;;White Labs;White Lab;;;WLP672;WLP 672,WLP-672;bacteria;liquid;low;;low;80;21;35
Lactobacillus Delbrueckii;Lactobacillus D,Lactobacillus D.,Lacto D,Lacto D.;;White Labs;White Lab;;;WLP677;WLP 677,WLP-677;bacteria;liquid;medium;;low;;21;24
Leeuwenhoek Saison Blend;Leeuwenhoek;;White Labs;White Lab;;;WLP564;WLP 564,WLP-564;ale;liquid;high;;low;79;19;24
London Ale;;;White Labs;White Lab;;;WLP013;WLP 013,WLP-013;ale;liquid;medium;;medium;71;19;22
London Fog Ale;;;White Labs;White Lab;;;WLP066;WLP 066,WLP-066;ale;liquid;high;;medium;78.5;18;22
Manchester Ale;;;White Labs;White Lab;;;WLP038;WLP 038,WLP-038;ale;liquid;medium;;medium-high;72;18;21
Marañón Canyon Wild Cacao;;;White Labs;White Lab;;;WLP546;WLP 546,WLP-546;ale;liquid;medium;;low;67.5;18;24
Mexican Lager;;;White Labs;White Lab;;;WLP940;WLP 940,WLP-940;lager;liquid;medium;;medium;74;10;13
Trappist Ale;Monastary Ale;;White Labs;White Lab;;;WLP500;WLP 500,WLP-500;ale;liquid;high;;medium;77.5;18;22
Munich Helles;;;White Labs;White Lab;;;WLP860;WLP 860,WLP-860;lager;liquid;medium;;medium;70;9;11
Neutral Grain;;;White Labs;White Lab;;;WLP078;WLP 078,WLP-078;ale;liquid;high;;medium;81;24;29
New Nordic Ale;;;White Labs;White Lab;;;WLP611;WLP 611,WLP-611;ale;liquid;medium;;medium;70;10;30
Oktoberfest/Märzen Lager;Octoberfest/Marzen Lager;;White Labs;White Lab;;;WLP820;WLP 820,WLP-820;lager;liquid;medium;;medium;69;11;14
Old Bavarian Lager;;;White Labs;White Lab;;;WLP920;WLP 920,WLP-920;lager;liquid;medium;;medium;69.5;10;13
Old Sonoma Ale;;;White Labs;White Lab;;;WLP076;WLP 076,WLP-076;ale;liquid;medium;;medium;72;19;21
Opshaug Kveik Ale;;;White Labs;White Lab;;;WLP518;WLP 518,WLP-518;ale;liquid;medium;;medium;75;25;30
Pacific Ale;;;White Labs;White Lab;;;WLP041;WLP 041,WLP-041;ale;liquid;medium;;high;67.5;18;20
Pilsner Lager;;;White Labs;White Lab;;;WLP800;WLP 800,WLP-800;lager;liquid;medium;;medium-high;74.5;10;13
Premium Bitter Ale;;;White Labs;White Lab;;;WLP026;WLP 026,WLP-026;ale;liquid;medium;;medium;72.5;19;16
Ringwood Ale: Strain 1187;;;White Labs;White Lab;;;;;ale;liquid;high;;high;77;20;22
Brettanomyces Bruxellensis Trois;"Saccharomyces ""Bruxellensis"" Trois",Saccharomyces "Brett" Trois,Sacc Trois,Sach Trois,Saccharomyces Bruxellensis Trois;;White Labs;White Lab;;;WLP644;WLP 644,WLP-644;ale;liquid;medium;;low;85;21;29
Flor Sherry Yeast;Flor Sherry,Flor;;White Labs;White Lab;;;WLP700;WLP 700,WLP-700;wine;liquid;high;;;90;23;40
Sake #7;;;White Labs;White Lab;;;WLP705;WLP 705,WLP-705;wine-cider;liquid;high;;low;90;21;38
Sake #9;;;White Labs;White Lab;;;WLP709;WLP 709,WLP-709;wine-cider;liquid;low;;low;75;17;20
San Diego Super;;;White Labs;White Lab;;;WLP090;WLP 090,WLP-090;ale;liquid;high;;medium-high;79.5;18;20
San Francisco Lager;San Fran Lager;;White Labs;White Lab;;;WLP810;WLP 810,WLP-810;lager;liquid;medium;;high;67.5;14;18
Scotch Whiskey Yeast;Scotch Whiskey;;White Labs;White Lab;;;WLP045;WLP 045,WLP-045;ale;liquid;high;;medium;77;22;25
Southern German Lager;;;White Labs;White Lab;;;WLP838;WLP 838,WLP-838;lager;liquid;medium;;medium-high;72;10;13
Southwold Ale;;;White Labs;White Lab;;;WLP025;WLP 025,WLP-025;ale;liquid;medium;;medium;71.5;19;21
Super High Gravity Ale;;;White Labs;White Lab;;;WLP099;WLP 099,WLP-099;ale;liquid;high;;medium;85;18;21
Sweet Mead/Wine;;;White Labs;White Lab;;;WLP720;WLP 720,WLP-720,WL720;wine-cider;liquid;;15;low;75;21;24
Tennessee Whisky Yeast;Tennessee Whiskey;;White Labs;White Lab;;;WLP050;WLP 050,WLP-050;ale;liquid;high;;medium;77;24;26
Whitbread Ale;;;White Labs;White Lab;;;WLP017;WLP 017,WLP-017;ale;liquid;medium;;high;70;19;21
Hazy Daze;;;White Labs;White Lab;;;WLP4044;;ale;liquid;low;;low;81;18;21
Charlie;;;White Labs;White Lab;;;WLP1983;;ale;liquid;medium;;low;68;20;23
Hornindal Kveik Ale;;;White Labs;White Lab;;;WLP521;;ale;liquid;high;;high;79;22;37
Torulaspora delbrueckii;;;White Labs;White Lab;;;WLP603;;ale;liquid;low;;low;40;18;26
Thai Rice Chong;;;White Labs;White Lab;;;WLP780;;ale;liquid;high;;medium;76;21;26
Yorkshire Square Ale;;;White Labs;White Lab;;;WLP037;;ale;liquid;medium;;high;70;18;21
Zurich Lager;;;White Labs;White Lab;;;WLP885;;lager;liquid;medium;;medium;75;10;13
Sigmund Kveik Ale;;;White Labs;White Lab;;;WLP520;;ale;liquid;high;;medium;79;22;37
Stranda Kveik Ale;;;White Labs;White Lab;;;WLP519;;ale;liquid;high;;medium;80;22;37
Buchner Ale Yeast Blend;Buchner Yeast Blend,Buchner Ale Yeast,Buchner Ale;;White Labs;White Lab;;;WLP064;WLP 064,WLP-064;ale;liquid;medium;10;medium;75;18;22
Pediococcus Damnosus;Pediococcus D.,Pedio D,Pedio D.,P Damnosus,P. Damnosus;;White Labs;White Lab;;;WLP661;WLP 661;bacteria;liquid;;9;;75;16;35
Summation Red;Strain: 4267,Bordeaux;;Wyeast;;;;4267;;wine;liquid;;14;low-medium;;16;32
American Ale;;;Wyeast;;;;1056;;ale;liquid;;10;medium-low;75;16;22
American Ale II;;;Wyeast;;;;1272;;ale;liquid;;10;high;74;16;22
American Lager;;;Wyeast;;;;2035;;lager;liquid;;9;medium;75;9;14
American Wheat;;;Wyeast;;;;1010;;wheat;liquid;;10;low;76;14;23
Bavarian Lager;;;Wyeast;;;;2206;;lager;liquid;;9;medium-high;75;8;14
Bavarian Wheat;;;Wyeast;;;;3056;;wheat;liquid;;10;medium;75;18;23
Bavarian Wheat;;;Wyeast;;;;3638;;wheat;liquid;;10;low;73;18;24
Belgian Abby Ale II;;;Wyeast;;;;1762;;ale;liquid;;12;medium;75;18;24
Belgian Ale;;;Wyeast;;;;1214;;ale;liquid;;12;medium-low;75;20;26
Belgian Ardennes;Ardennes;;Wyeast;;;;3522;;ale;liquid;;12;high;74;18;29
Belgian Dark Ale;;;Wyeast;;;;3822;;ale;liquid;;12;medium;76;18;27
Belgian Lambic Blend;;;Wyeast;;;;3278;;ale;liquid;;12;medium;75;17;24
Belgian Saison;;;Wyeast;;;;3724;;ale;liquid;;12;low;78;21;35
Belgian Schelde;;;Wyeast;;;;3655;;ale;liquid;;11;medium;75;17;23
Belgian Stout;;;Wyeast;;;;1581;;ale;liquid;;12;medium;80;18;24
Belgian Strong Ale;;;Wyeast;;;;1388;;ale;liquid;;12;low;76;18;27
Belgian Wheat;;;Wyeast;;;;3942;;wheat;liquid;;12;medium;74;18;23
Belgian Witbier;;;Wyeast;;;;3944;;ale;liquid;;12;medium-low;74;17;24
Berliner Weisse Blend;;;Wyeast;;;;3191;;brett-bacteria;liquid;;6;low;75;20;22
Biere de Garde;Bier de Garde;;Wyeast;;;;3725;;ale;liquid;;12;low;76;21;35
Bohemian Lager;;;Wyeast;;;;2124;;lager;liquid;;9;medium;75;9;14
Brettanomyces bruxellensis;;;Wyeast;;;;5112;;brett;liquid;;12;medium;90;16;24
Brettanomyces Claussenii;Brett C.,Brettanomyces C.,Brett Claussenii;;Wyeast;;;;5151-PC;wy5151pc,5151PC,5151 PC;brett;dry;high;;medium;80;16;24
Brettanomyces lambicus;;;Wyeast;;;;5526;;brett;liquid;;12;medium;90;16;24
British Ale;;;Wyeast;;;;1098;;ale;liquid;;10;medium-high;74;18;22
British Ale;;;Wyeast;;;;1335;;ale;liquid;;10;high;74.5;17;24
British Cask Ale;;;Wyeast;;;;1026;;ale;liquid;;10;medium-high;76;17;22
Budvar Lager;;;Wyeast;;;;2000;;lager;liquid;;9;medium-high;73;9;13
California Lager;;;Wyeast;;;;2112;;lager;liquid;;9;high;69;14;20
Canadian/Belgian Ale;;;Wyeast;;;;3864;;ale;liquid;;12;medium;77;18;27
Cider & Mead;Cider and Mead;;Wyeast;;;;4766;;wine-cider;liquid;;12;low;85;18;21
Czech Pils;;;Wyeast;;;;2278;;lager;liquid;;9;medium-high;72;10;14
Danish Lager;;;Wyeast;;;;2042;;lager;liquid;;9;low;75;8;13
Denny's Favorite;1450;;Wyeast;;;;1450;;ale;liquid;;10;low;75;16;21
Dry Mead;;;Wyeast;;;;4632;;wine-cider;liquid;;18;low;95;13;24
English Special Bitter;;;Wyeast;;;;1768;;ale;liquid;;9;high;70;18;22
European Ale;;;Wyeast;;;;1338;;ale;liquid;;10;high;69;17;22
European Lager;;;Wyeast;;;;2247;;lager;liquid;;9;low;75;8;13
Farmhouse Ale;;;Wyeast;;;;3726;;ale;liquid;;12;;76;21;35
Flanders Golden Ale;;;Wyeast;;;;3739;;ale;liquid;;12;medium-low;76;18;27
Forbidden Fruit;;;Wyeast;;;;3463;;ale;liquid;;12;low;74;17;24
French Saison;;;Wyeast;;;;3711;;ale;liquid;;12;low;80;18;25
Gambrinus Style Lager;;;Wyeast;;;;2002-PC;;lager;liquid;;9;medium-high;73;8;13
German Ale;;;Wyeast;;;;1007;;ale;liquid;;11;low;75;13;20
German Wheat;;;Wyeast;;;;3333;;wheat;liquid;;10;high;73;17;24
Hella Bock;;;Wyeast;;;;2487;;ale;liquid;;12;medium;72;9;13
Irish Ale;;;Wyeast;;;;1084;;ale;liquid;;10;medium;73;17;22
Kölsch;Kolsch;;Wyeast;;;;2565;;ale;liquid;;10;low;75;13;21
Kölsch II;Kolsch II;;Wyeast;;;;2575;;ale;liquid;;10;low;75;13;21
Lactobacillus Brevis;Lacto Brevis,Lacto B.,Lacto B,L Brevis,L. Brevis;;Wyeast;;;;5223-PC;;bacteria;liquid;high;;low;;16;35
Lactobacillus;;;Wyeast;;;;5335;;bacteria;liquid;;9;;75;16;35
Leuven Pale Ale;;;Wyeast;;;;3538;;ale;liquid;;12;high;76;18;27
London Ale;;;Wyeast;;;;1028;;ale;liquid;;10;medium-low;75;16;22
London Ale III;;;Wyeast;;;;1318;;ale;liquid;;10;high;73;18;23
London ESB Ale;ESB;;Wyeast;;;;1968;;ale;liquid;;10;very-high;69;18;22
Munich Lager;;;Wyeast;;;;2308;;lager;liquid;;9;medium;72;9;13
Munich Lager II;;;Wyeast;;;;2352;;lager;liquid;;10;medium;73;11;17
NeoBritannia;NB NeoBritannia;;Wyeast;;;;1945;;ale;liquid;;10;medium-high;74;19;23
North American Lager;;;Wyeast;;;;2272;;lager;liquid;;9;high;73;11;14
Northwest Ale;NW Ale,North West Ale;;Wyeast;;;;1332;;ale;liquid;;10;high;69;18;24
Octoberfest Lager Blend;Wyeast Lager Blend;;Wyeast;;;;2633;;lager;liquid;;9;medium-low;75;9;14
Pediococcus;;;Wyeast;;;;5733;;bacteria;liquid;;9;;75;16;35
Pilsen Lager;;;Wyeast;;;;2007;;lager;liquid;;9;medium;73;9;13
Pilsner Urquell H-Strain;;;Wyeast;;;;2001-PC;;lager;liquid;medium;;medium;74;9;13
Private Collection West Coast IPA;West Coast IPA;;Wyeast;;;;1217;;ale;liquid;;10;medium-high;75;17;23
Rasenmäher Lager;;;Wyeast;;;;2252;;lager;liquid;;9;low;75;9;20
Ringwood Ale;;;Wyeast;;;;1187;;ale;liquid;;10;high;70;18;23
Rocky Mountain Lager;;;Wyeast;;;;2105;;lager;liquid;;10;medium-high;72;9;13
Roeselare Ale Blend;Roeselare,Roselare,Rosalare;;Wyeast;;;;3763;;ale;liquid;;11;;80;18;29
De Bom;de bomb;;Wyeast;;;;3203;3203-PC;brett-bacteria;liquid;;11;;72.5;26;30
Rogue Pacman;;;Wyeast;;;;1764;;ale;liquid;;12;medium-high;75;16;22
Saison-Brett Blend;;;Wyeast;;;;3031-PC;3031,3031 PC,PC-3031;brett;liquid;;12;low;85;18;27
Sake;;;Wyeast;;;;WY4134;;wine-cider;dry;high;;low;65;16;24
Scottish Ale;;;Wyeast;;;;1728;;ale;liquid;;12;high;71;13;24
Staro Prague Lager;;;Wyeast;;;;2782;;lager;liquid;;11;high;72;10;14
Sweet Mead;;;Wyeast;;;;4184;;wine-cider;liquid;;11;medium;75;18;24
Thames Valley Ale;;;Wyeast;;;;1275;;ale;liquid;;10;medium-low;77;17;22
Thames Valley Ale II;Thames Valley II;;Wyeast;;;;1882;;ale;liquid;;10;high;75;16;21
Trappist Blend;Trappist Style Blend,3789;;Wyeast;;;;3789;;ale;liquid;;12;medium;77;20;29
Trappist High Gravity;;;Wyeast;;;;3787;;ale;liquid;;12;medium-high;76;18;26
Urquell Lager;;;Wyeast;;;;2001;;lager;liquid;;9;medium-high;74;9;14
Weihenstephan Weizen;;;Wyeast;;;;3068;;ale;liquid;;10;low;75;18;24
West Yorkshire;Yorkshire Ale Yeast;;Wyeast;;;;1469;;ale;liquid;;9;high;69;18;22
Whitbread Ale;;;Wyeast;;;;1099;;ale;liquid;;10;high;70;18;24
Burton IPA Blend;Burton IPA;;Wyeast;;;;1203-PC;1203,1203PC,1203 PC;ale;liquid;;10;high;72.5;18;23
Old Ale Blend;pc-old;;Wyeast;;;;9097-PC;9097,9097PC,9097 PC,#9097;ale-brett;liquid;;13;high;77.5;20;24
Coopers Ale;Cooper Pure,Cooper's Ale;Coopers;Coopers;;;;;;ale;dry;medium;;high;75;20;24
Premium Gold;Munton,Muntons,Munton's;;Muntons;;;;;;ale;dry;;;medium;75;14;25
WildBrew Philly Sour;Philly,Philly Sour;;Lallemand;;WildBrew;;;;ale;dry;medium;;high;85;20;25
WildBrew Helveticus Pitch;Helveticus,Lactobacillus Helveticus,L Helveticus,L. Helveticus,Lacto Helveticus,Lactobacillus H;;Lallemand;;WildBrew;;;;bacteria;dry;low;;low;;38;45
Wildbrew Sour Pitch;Sour pitch,Plantarum,Lactobacillus Plantarum,L Plantarum,L. Plantarum,Lacto Plantarum,Lactobacillus P,Lacto. P,Lacto P.;;Lallemand;;WildBrew;;;;bacteria;dry;low;;low;;30;40
Classic 8 Turbo Yeast;Turbo,Turbo Yeast;;Still Spirits;StillSpirits;;;;;ale;dry;;20;high;100;18;24
Pure Turbo Yeast;Triple Distilled Turbo,Triple Distilled;;Still Spirits;StillSpirits;;;;;ale;dry;;20;high;100;18;24
Alcotec Turbo Yeast Pure 48;Turbo Yeast Pure 48,Pure 48;;Alcotec;;;;;;ale;dry;;20;high;100;18;24
Hybrid Ale Yeast "Notty";Gozdawa Notty;;Gozdawa;;;;;;ale;dry;;;;;11;22
Original British Ale Yeast 04 "Withbread";Gozdawa Withbread;;Gozdawa;;;;;;ale;dry;;;;;15;22
U.S. West Coast "Chico";Gozdawa Chico;;Gozdawa;;;;;;ale;dry;;;;;14;22
Classic Belgian Witbier;Gozdawa CBW;;Gozdawa;;;;;;ale;dry;;;;;20;24
Pure Ale Yeast 7;Gozdawa Pure Ale;;Gozdawa;;;;;;ale;dry;;;;;16;32
Old German Altbier 9;Gozdawa OGA;;Gozdawa;;;;;;ale-lager;dry;;;;;15;20
Porter & Kvass;;;Gozdawa;;;;;;ale;dry;;;;;22;26
FM52 American Dream;American Dream,FM52 Amerykański Sen,Amerykański Sen;;Fermentum Mobile;;;;;;ale;dry;;;medium;75.5;16;22
FM30 Bohemian Melody;Bohemian Melody,FM30 Bohemska Rapsodia,Bohemska Rapsodia;;Fermentum Mobile;;;;;;ale;dry;;;high;75.5;8;12